z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayMode,branchingRatio,branchingRatioUncertainty,betaMinus,betaMinusUncertainty
20,31,51Ca,0,10,s,0.8,β⁻,100.0,,6910.0,2.56
20,30,50Ca,0,13.45,s,0.07,β⁻,100.0,,4940.0,2.97
20,29,49Ca,0,8.718,m,0.006,β⁻,100.0,,5260.0,2.27
20,28,48Ca,0,5.60e+19,y,1.40e+19-1.10e+19,β⁻,,,279.0,4.94
20,27,47Ca,0,4.536,d,0.002,β⁻,100.0,,1990.0,1.18
20,25,45Ca,0,162.61,d,0.09,β⁻,100.0,,260.0,0.737
21,29,50Sc,0,102.5,s,0.5,β⁻,100.0,,6890.0,2.51
21,28,49Sc,0,57.2,m,0.15,β⁻,100.0,,2000.0,2.26
21,27,48Sc,0,43.71,h,0.08,β⁻,100.0,,3980.0,4.94
21,26,47Sc,0,3.3491,d,0.0006,β⁻,100.0,,600.0,1.92
21,25,46Sc,0,83.808,d,0.029,β⁻,100.0,,2360.0,0.666
21,37,58Sc,0,12,ms,5,β⁻,100.0,,15400.0,264.0
21,36,57Sc,0,20,ms,4,β⁻,100.0,,13000.0,273.0
21,35,56Sc,0,26,ms,6,β⁻,100.0,,13900.0,278.0
21,34,55Sc,0,92,ms,4,β⁻,100.0,,10900.0,68.7
21,33,54Sc,0,526,ms,15,β⁻,100.0,,11300.0,21.1
21,32,53Sc,0,2.4,s,0.6,β⁻,100.0,,8110.0,17.9
21,31,52Sc,0,8.2,s,0.2,β⁻,100.0,,8950.0,4.12
21,30,51Sc,0,12.5,s,0.1,β⁻,100.0,,6480.0,2.56
22,39,61Ti,0,15,ms,4,β⁻,100.0,,13800.0,381.0
22,38,60Ti,0,22.2,ms,1.6,β⁻,100.0,,10900.0,301.0
22,37,59Ti,0,28.5,ms,1.9,β⁻,100.0,,11700.0,330.0
22,36,58Ti,0,55,ms,6,β⁻,100.0,,9510.0,206.0
22,35,57Ti,0,94,ms,8,β⁻,100.0,,10000.0,222.0
22,34,56Ti,0,199,ms,6,β⁻,100.0,,6760.0,188.0
22,33,55Ti,0,1.3,s,0.1,β⁻,100.0,,7290.0,39.5
22,32,54Ti,0,1.6,s,0.4,β⁻,100.0,,4150.0,19.3
22,31,53Ti,0,32.7,s,0.9,β⁻,100.0,,4970.0,4.23
22,30,52Ti,0,1.7,m,0.1,β⁻,100.0,,1960.0,2.75
22,29,51Ti,0,5.756,m,0.009,β⁻,100.0,,2470.0,0.482
23,41,64V,0,15,ms,2,β⁻,100.0,,17300.0,500.0
23,40,63V,0,19.6,ms,0.9,β⁻,100.0,,14400.0,347.0
23,27,50V,0,2.68e+17,y,1.08e+16-1.09e+16,β⁻,1.4,,1030.0,0.0551
23,29,52V,0,3.743,m,0.005,β⁻,100.0,,3970.0,0.16
23,38,61V,0,48.2,ms,0.6,β⁻,100.0,,12300.0,234.0
23,39,62V,0,33.6,ms,2.3,β⁻,100.0,,15600.0,264.0
23,30,53V,0,1.537,m,0.014,β⁻,100.0,,3430.0,3.1
23,31,54V,0,49.8,s,0.5,β⁻,100.0,,7030.0,11.1
23,32,55V,0,6.54,s,0.15,β⁻,100.0,,5980.0,27.0
23,33,56V,0,218,ms,6,β⁻,100.0,,9100.0,175.0
23,34,57V,0,347,ms,9,β⁻,100.0,,8080.0,84.7
23,35,58V,0,192,ms,7,β⁻,100.0,,11500.0,95.8
23,36,59V,0,96,ms,4,β⁻,100.0,,10500.0,137.0
23,37,60V,0,122,ms,18,β⁻,100.0,,13800.0,181.0
24,39,63Cr,0,129,ms,2,β⁻,100.0,,10700.0,72.7
24,31,55Cr,0,3.498,m,0.004,β⁻,100.0,,2600.0,0.321
24,32,56Cr,0,5.94,m,0.1,β⁻,100.0,,1620.0,0.552
24,33,57Cr,0,21.1,s,1.0,β⁻,100.0,,4960.0,2.39
24,34,58Cr,0,7,s,0.3,β⁻,100.0,,3830.0,4.02
24,35,59Cr,0,1.05,s,0.09,β⁻,100.0,,7400.0,2.42
24,36,60Cr,0,490,ms,10,β⁻,100.0,,6050.0,2.58
24,37,61Cr,0,243,ms,10,β⁻,100.0,,9240.0,2.98
24,38,62Cr,0,206,ms,11,β⁻,100.0,,7670.0,7.39
24,42,66Cr,0,24,ms,2,β⁻,100.0,,11600.0,300.0
24,40,64Cr,0,43,ms,1,β⁻,100.0,,9340.0,299.0
24,41,65Cr,0,28,ms,2,β⁻,100.0,,12600.0,200.0
25,44,69Mn,0,22.1,ms,2.5,β⁻,100.0,,13800.0,447.0
25,43,68Mn,0,33.9,ms,1.7,β⁻,100.0,,14900.0,356.0
25,45,70Mn,0,19.9,ms,1.7,β⁻,100.0,,16400.0,583.0
25,40,65Mn,0,91.7,ms,1.0,β⁻,100.0,,10200.0,6.32
25,42,67Mn,0,47,ms,3,β⁻,100.0,,12100.0,200.0
25,41,66Mn,0,63.9,ms,0.9,β⁻,100.0,,13300.0,11.9
25,29,54Mn,0,312.1,d,0.04,β⁻,9.3e-05,,696.0,1.05
25,33,58Mn,0,3,s,0.1,β⁻,100.0,,6320.0,2.71
25,32,57Mn,0,85.4,s,1.8,β⁻,100.0,,2690.0,1.52
25,35,60Mn,0,0.28,s,0.02,β⁻,100.0,,8440.0,4.12
25,34,59Mn,0,4.59,s,0.04,β⁻,100.0,,5130.0,2.35
25,37,62Mn,0,92,ms,13,β⁻,100.0,,10300.0,7.11
25,36,61Mn,0,0.709,s,0.006,β⁻,100.0,,7170.0,3.49
25,39,64Mn,0,90,ms,3,β⁻,100.0,,11900.0,6.14
25,38,63Mn,0,277,ms,5,β⁻,100.0,,8740.0,5.69
25,31,56Mn,0,2.5788,h,0.0002,β⁻,100.0,,3690.0,0.206
26,34,60Fe,0,2.61e+06,y,3.76e+04,β⁻,100.0,,237.0,3.41
26,33,59Fe,0,44.495,d,0.009,β⁻,100.0,,1560.0,0.369
26,36,62Fe,0,68,s,2,β⁻,100.0,,2540.0,18.7
26,35,61Fe,0,6.03,m,0.05,β⁻,100.0,,3970.0,2.73
26,38,64Fe,0,2,s,0.3,β⁻,100.0,,4820.0,20.6
26,37,63Fe,0,6.1,s,0.6,β⁻,100.0,,6210.0,19.0
26,39,65Fe,0,0.803,s,0.018,β⁻,100.0,,7960.0,5.51
26,45,71Fe,0,34,ms,7,β⁻,100.0,,12400.0,613.0
26,44,70Fe,0,61.5,ms,0.9,β⁻,100.0,,9630.0,300.0
26,47,73Fe,0,12.9,ms,1.6,β⁻,100.0,,13900.0,583.0
26,46,72Fe,0,19,ms,4,β⁻,100.0,,11000.0,583.0
26,48,74Fe,0,8.2,ms,+2.6-7.1,β⁻,100.0,,12800.0,640.0
26,41,67Fe,0,398,ms,9,β⁻,100.0,,9610.0,7.49
26,40,66Fe,0,472,ms,33,β⁻,100.0,,6340.0,14.5
26,43,69Fe,0,162,ms,7,β⁻,100.0,,11100.0,218.0
26,42,68Fe,0,186,ms,4,β⁻,100.0,,7740.0,193.0
27,47,74Co,0,31.3,ms,1.3,β⁻,100.0,,15100.0,447.0
27,48,75Co,0,26.5,ms,1.2,β⁻,100.0,,13600.0,447.0
27,45,72Co,0,51.9,ms,0.8,β⁻,100.0,,13900.0,300.0
27,46,73Co,0,42,ms,0.7,β⁻,100.0,,12100.0,300.0
27,49,76Co,0+X,16,ms,4,β⁻,100.0,,16500.0,583.0
27,40,67Co,0,329,ms,28,β⁻,100.0,,8420.0,7.06
27,43,70Co,0+X,114,ms,4,β⁻,100.0,,12600.0,11.1
27,44,71Co,0,80,ms,2,β⁻,100.0,,11000.0,465.0
27,41,68Co,0,222,ms,28,β⁻,100.0,,11800.0,4.87
27,42,69Co,0,210,ms,9,β⁻,100.0,,9590.0,85.7
27,50,77Co,0,13,ms,+7.2-4.3,β⁻,100.0,,15400.0,721.0
27,36,63Co,0,26.9,s,0.4,β⁻,100.0,,3660.0,18.5
27,37,64Co,0,300,ms,30,β⁻,100.0,,7300.0,20.0
27,34,61Co,0,1.65,h,0.005,β⁻,100.0,,1320.0,0.789
27,35,62Co,0,1.51,m,0.04,β⁻,100.0,,5320.0,18.5
27,38,65Co,0,1.16,s,0.03,β⁻,100.0,,5940.0,2.13
27,39,66Co,0,200,ms,15,β⁻,100.0,,9590.0,14.0
27,33,60Co,0,5.271,y,+0.001-0.001,β⁻,100.0,,2820.0,0.212
28,51,79Ni,0,43,ms,+8.6-7.5,β⁻,100.0,,14200.0,511.0
28,52,80Ni,0,24,ms,+26-17,β⁻,100.0,,13400.0,671.0
28,50,78Ni,0,122.2,ms,5.1,β⁻,100.0,,9910.0,400.0
28,37,65Ni,0,2.5175,h,0.0005,β⁻,100.0,,2130.0,0.699
28,38,66Ni,0,54.6,h,0.3,β⁻,100.0,,251.0,1.54
28,35,63Ni,0,100.8,y,1.2,β⁻,100.0,,66.9,0.0149
28,39,67Ni,0,21,s,1,β⁻,100.0,,3570.0,3.02
28,48,76Ni,0,234.7,ms,2.7,β⁻,100.0,,8790.0,300.0
28,49,77Ni,0,158.5,ms,4.2,β⁻,100.0,,11500.0,400.0
28,46,74Ni,0,507.7,ms,4.6,β⁻,100.0,,7300.0,200.0
28,47,75Ni,0,332.2,ms,3.1,β⁻,100.0,,10200.0,200.0
28,40,68Ni,0,29,s,2,β⁻,100.0,,2100.0,3.37
28,41,69Ni,0,11.4,s,0.3,β⁻,100.0,,5750.0,3.97
28,44,72Ni,0,1.57,s,0.05,β⁻,100.0,,5550.0,2.63
28,45,73Ni,0,838,ms,28,β⁻,100.0,,8870.0,3.1
28,42,70Ni,0,6,s,0.3,β⁻,100.0,,3760.0,2.4
28,43,71Ni,0,2.55,s,0.04,β⁻,100.0,,7300.0,2.68
29,39,68Cu,0,30.8,s,0.6,β⁻,100.0,,4440.0,1.76
29,38,67Cu,0,61.81,h,0.1,β⁻,100.0,,560.0,0.829
29,37,66Cu,0,5.09,m,0.009,β⁻,100.0,,2640.0,0.925
29,35,64Cu,0,12.7007,h,0.0013,β⁻,38.5,0.3,579.0,0.644
29,49,78Cu,0,331.3,ms,1.9,β⁻,100.0,,12600.0,13.4
29,48,77Cu,0,469.8,ms,1.8,β⁻,100.0,,9920.0,2.31
29,47,76Cu,0,637,ms,8,β⁻,100.0,,11300.0,1.71
29,42,71Cu,0,19.4,s,1.4,β⁻,100.0,,4610.0,3.04
29,41,70Cu,0,44.5,s,0.3,β⁻,100.0,,6580.0,2.2
29,40,69Cu,0,2.9,m,0.1,β⁻,100.0,,2680.0,1.6
29,46,75Cu,0,1.224,s,0.003,β⁻,100.0,,8080.0,2.08
29,45,74Cu,0,1.606,s,0.012,β⁻,100.0,,9750.0,6.64
29,44,73Cu,0,4.2,s,0.12,β⁻,100.0,,6600.0,2.69
29,43,72Cu,0,6.63,s,0.03,β⁻,100.0,,8360.0,2.55
29,53,82Cu,0,33,ms,+7-6,β⁻,100.0,,16500.0,400.0
29,52,81Cu,0,73.2,ms,6.8,β⁻,100.0,,14200.0,300.0
29,51,80Cu,0,113.3,ms,6.4,β⁻,100.0,,14900.0,300.0
29,50,79Cu,0,241,ms,3.3,β⁻,100.0,,11000.0,105.0
30,53,83Zn,0,119,ms,16,β⁻,100.0,,12900.0,300.0
30,52,82Zn,0,177.7,ms,2.5,β⁻,100.0,,10600.0,3.91
30,54,84Zn,0,53.6,ms,8.1,β⁻,100.0,,12200.0,401.0
30,51,81Zn,0,299.4,ms,4.2,β⁻,100.0,,11400.0,5.99
30,50,80Zn,0,561.9,ms,2.9,β⁻,100.0,,7570.0,3.87
30,42,72Zn,0,46.5,h,0.1,β⁻,100.0,,442.0,2.29
30,41,71Zn,0,2.42,m,0.08,β⁻,100.0,,2810.0,2.77
30,44,74Zn,0,96,s,1,β⁻,100.0,,2290.0,3.91
30,43,73Zn,0,24.5,s,0.2,β⁻,100.0,,4100.0,2.5
30,49,79Zn,0,746,ms,42,β⁻,100.0,,9110.0,2.52
30,46,76Zn,0,5.3,s,0.4,β⁻,100.0,,3990.0,2.43
30,45,75Zn,0,10.2,s,0.2,β⁻,100.0,,5900.0,2.06
30,48,78Zn,0,1.47,s,0.15,β⁻,100.0,,6220.0,2.2
30,47,77Zn,0,2.09,s,0.05,β⁻,100.0,,7200.0,3.12
30,39,69Zn,0,56.4,m,0.7,β⁻,100.0,,909.0,1.42
31,54,85Ga,0,95.1,ms,1.0,β⁻,100.0,,13300.0,37.4
31,53,84Ga,0,97.6,ms,1.2,β⁻,100.0,,14000.0,29.9
31,56,87Ga,0,29,ms,4,β⁻,100.0,,14700.0,583.0
31,55,86Ga,0,49,ms,2,β⁻,100.0,,15600.0,593.0
31,50,81Ga,0,1.217,s,0.005,β⁻,100.0,,8660.0,3.85
31,52,83Ga,0,310,ms,1,β⁻,100.0,,11700.0,3.55
31,51,82Ga,0,600,ms,4,β⁻,100.0,,12400.0,3.29
31,43,74Ga,0,8.1,m,0.06,β⁻,100.0,,5370.0,2.99
31,42,73Ga,0,4.87,h,0.02,β⁻,100.0,,1590.0,1.67
