np,nn,delta,I,betaMinusQ,betaMinusQUncertainty,halflife_log_sec,halflife_log_sec_uncertainty,J_i,parity_i,flag_i,J_f,parity_f,flag_f,delta_J,delta_parity
29,40,0,0.15942028985507245,3.428134794028789,0.0002592802877034339,2.2405492482826,0.014975671789767303,1.5,-1,0,0.5,-1,0,1.0,1
12,22,-1,0.29411764705882354,4.05307844348342,0.0002767186079383551,-1.3477536589966768,0.0038689931572672767,0.0,1,0,4.0,-1,0,4.0,-1
46,73,0,0.226890756302521,3.859138297294531,0.0010091490035926184,-0.05551732784983137,0.009870329134164814,0.5,1,1,0.5,-1,1,0.0,-1
8,16,-1,0.3333333333333333,4.037426497940624,0.0076101143159193665,-1.1426675035687315,0.02412747121684732,0.0,1,0,3.0,1,1,3.0,1
52,91,0,0.2727272727272727,4.008600171761918,0.02294948291626007,-0.9208187539523752,0.028952965460216782,0.0,0,2,0.0,0,2,-1.0,0
31,43,1,0.16216216216216217,3.7299742856995555,0.00024181387353644748,2.6866362692622934,0.0032169961622463094,3.0,-1,1,0.0,0,2,-1.0,0
40,55,0,0.15789473684210525,3.0492180226701815,0.00038194648631669913,6.742910809435011,4.069476029828072e-05,2.5,1,0,4.5,1,0,2.0,1
56,84,-1,0.2,3.0170333392987803,0.0032989676990727783,6.042112480232238,4.767751475499526e-05,0.0,1,0,3.0,-1,0,3.0,-1
47,76,0,0.23577235772357724,3.8943160626844384,0.0018114068314076957,-0.5228787452803376,0.011581186184086713,3.5,1,1,1.5,1,1,2.0,1
56,96,-1,0.2631578947368421,3.885361220031512,0.028274380332242954,-0.8538719643217619,0.02171472409516259,0.0,1,0,0.0,0,2,-1.0,0
94,152,-1,0.23577235772357724,2.603144372620182,0.015162400864452683,5.971543024681261,0.0008012813319248188,0.0,1,0,7.0,-1,1,7.0,-1
80,123,0,0.21182266009852216,2.69196510276736,0.0010769090811422097,6.605011480260848,0.00010248947268805821,2.5,-1,0,0.0,0,2,-1.0,0
48,78,-1,0.23809523809523808,3.7442929831226763,0.00037404101324280066,-0.2907300390241692,0.004241157049836443,0.0,1,0,3.0,1,1,3.0,1
27,47,1,0.2702702702702703,4.17897694729317,0.012856267113294937,-1.5044556624535514,0.01803778998320215,0.0,0,2,0.0,1,0,-1.0,0
15,28,0,0.3023255813953488,4.235528446907549,0.007574903754126484,-1.4377071355435254,0.01784771843438021,0.5,1,0,1.5,-1,0,1.0,-1
88,146,-1,0.24786324786324787,3.3180633349627615,0.0033824858686695575,1.4771212547196624,0.14476482730108392,0.0,1,0,1.0,1,1,1.0,1
45,70,0,0.21739130434782608,3.791690649020118,0.0010734580893569875,-0.004364805402450088,0.021934064742588473,3.5,1,1,0.5,1,1,3.0,1
51,85,1,0.25,3.9960736544852753,0.0002738991434808601,-0.03432802877989328,0.006580219422776542,1.0,-1,1,0.0,1,0,1.0,-1
42,69,0,0.24324324324324326,3.958085848521085,0.00032476426565232155,-0.7304870557820837,0.021014249124350893,0.5,1,1,2.5,1,1,2.0,1
45,68,0,0.20353982300884957,3.6830470382388496,0.0008902135853120597,0.4471580313422192,0.018612620652996507,3.5,1,1,2.5,1,1,1.0,1
25,31,1,0.10714285714285714,3.56702636615906,2.4245166198392917e-05,3.9677201623063554,3.368190490951231e-05,3.0,1,0,0.0,0,2,-1.0,0
30,52,-1,0.2682926829268293,4.02530586526477,0.00016019730417374665,-0.7503125721946985,0.006109939250186435,0.0,1,0,2.0,-1,1,2.0,-1
27,41,1,0.20588235294117646,4.071882007306125,0.0001792384853278675,-0.6536470255493614,0.05477588060041014,7.0,-1,1,0.0,1,0,7.0,-1
79,122,0,0.21393034825870647,3.100370545117563,0.0010822894231557229,3.1931245983544616,0.01336290713548467,1.5,1,0,0.0,0,2,-1.0,0
54,81,0,0.2,3.0644579892269186,0.0013702739687637083,4.518577105390602,0.0003315948269331111,1.5,1,0,3.5,1,0,2.0,1
49,84,0,0.2631578947368421,4.117271295655764,0.006630450105393157,-0.790484985457369,0.005361660270410516,4.5,1,1,3.5,-1,0,1.0,-1
17,25,1,0.19047619047619047,3.9818186071706636,0.0027081136619201726,0.8325089127062363,0.019160050672202285,2.0,-1,1,0.0,1,0,2.0,-1
70,110,-1,0.2222222222222222,3.290034611362518,0.06859625662882131,2.1583624920952498,0.09047801706317746,0.0,1,0,5.0,1,0,5.0,1
48,84,-1,0.2727272727272727,4.075546961392531,0.0030984539087047127,-1.0757207139381184,0.025850862018050702,0.0,1,0,7.0,-1,1,7.0,-1
2,4,-1,0.3333333333333333,3.5440680443502757,6.601276124929427e-06,-0.09306189097375836,9.147346357859154e-05,0.0,1,0,0.0,0,2,-1.0,0
57,92,0,0.2348993288590604,3.8095597146352675,0.013466495562891529,0.0354297381845483,0.010407056709202346,1.5,-1,1,1.5,-1,1,0.0,1
37,49,1,0.13953488372093023,3.247973266361807,4.9072822813926755e-05,6.207681321426981,0.0002326037608608279,2.0,-1,0,0.0,0,2,-1.0,0
38,63,0,0.24752475247524752,3.9876662649262746,0.0004914855247876306,-0.9430951486635274,0.007619201436899153,2.5,-1,1,2.5,1,1,0.0,-1
97,156,0,0.233201581027668,3.2095150145426308,0.09624180185386876,2.7781512503836434,0.0,0.0,0,2,3.5,1,1,-1.0,0
96,155,0,0.2350597609561753,3.1522883443830563,0.006116823688778194,3.0034605321095067,0.005170172403610141,0.5,1,1,1.5,-1,1,1.0,-1
45,79,1,0.27419354838709675,4.133538908370218,0.015966708893501904,-1.494850021680094,0.027143405118953235,0.0,0,2,0.0,1,0,-1.0,0
27,50,0,0.2987012987012987,4.187520720836463,0.020332878016379514,-1.8860566476931633,0.19209179007259214,0.0,0,2,0.0,0,2,-1.0,0
10,17,0,0.25925925925925924,4.096910013008056,0.0031547151165452207,-1.5100415205751654,0.015460321362251684,1.5,1,1,2.5,1,0,1.0,1
8,11,0,0.15789473684210525,3.6830470382388496,0.00023696981066505233,1.4227539413013481,9.844227017074087e-05,2.5,1,0,0.0,0,2,-1.0,0
29,39,1,0.14705882352941177,3.6473829701146196,0.000172152767601289,1.4885507165004443,0.008460282114998411,1.0,1,0,0.0,0,2,-1.0,0
30,44,-1,0.1891891891891892,3.359835482339888,0.0007415246394068622,1.9822712330395684,0.0045239008531588725,0.0,1,0,3.0,-1,1,3.0,-1
15,19,1,0.11764705882352941,3.7307822756663893,6.54670678110664e-05,1.0944711286416449,0.002795137453922779,1.0,1,0,0.0,0,2,-1.0,0
