z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayMode,branchingRatio,branchingRatioUncertainty,massExcess(keV),massExcessUncertainty,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,neutronSeparationEnergy,neutronSeparationEnergyUncertainty,protonSeparationEnergy,protonSeparationEnergyUncertainty,alpha,alphaUncertainty,deltaAlpha,deltaAlphaUncertainty,twoNeutronSeparationEnergy,twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy,twoProtonSeparationEnergyUncertainty,doubleBetaMinus,doubleBetaMinusUncertainty,doubleElectronCapture,doubleElectronCaptureUncertainty,electronCaptureOneProtonEmission,electronCaptureOneProtonEmissionUncertainty,betaMinusOneNeutronEmission,betaMinusOneNeutronEmissionUncertainty,betaMinusTwoNeutronEmission,betaMinusTwoNeutronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty,pairingGap,pairingGapUncertainty,firstExcitedStateEnergy,firstExcitedStateEnergyUncertainty,firstTwoPlusEnergy,firstTwoPlusEnergyUncertainty,firstThreeMinusEnergy,firstThreeMinusEnergyUncertainty,firstFourPlusEnergy,firstFourPlusEnergyUncertainty,firstFourPlusOverFirstTwoPlusEnergy,firstFourPlusOverFirstTwoPlusEnergyUncertainty,quadrupoleDeformation,quadrupoleDeformationUncertainty,BE4DBE2,BE4DBE2Uncertainty,thermalNeutronCapture,thermalNeutronFission,FY235U,FY235UUncertainty,FY239Pu,FY239PuUncertainty,FY252Cf,FY252CfUncertainty,FY238U,FY238UUncertainty,FY241U,FY241UUncertainty,cFY235U,cFY235UUncertainty,cFY239Pu,cFY239PuUncertainty,cFY252Cf,cFY252CfUncertainty,cFY238U,cFY238UUncertainty,cFY241U,cFY241UUncertainty,secondTwoPlusEnergy,secondTwoPlusEnergyUncertainty
50,80,130Sn,0,3.73,m,0.06,0+,β⁻,100.0,,-80100.0,1.87,2150.0,14.1,-10200.0,2.59,-11200.0,2.59,,,,,-10300.0,2.96,2730.0,2.22,,,,,7220.0,1.87,-19000.0,22.4,-24200.0,5.63,-3570.0,21.3,-11600.0,2.64,8380.0,0.0144,-79.5,0.0144,1200.0,8.92,,,,,,,,,,,,,,,,,0.00542,0.00347,0.00469,0.003,0.0018,0.00115,0.00823,0.00526,,,0.0061,0.0039,0.00493,0.00315,0.00188,0.0012,0.00876,0.0056,,,,
50,82,132Sn,0,39.7,s,0.5,0+,β⁻,100.0,,-76500.0,1.97,3080.0,3.16,-14100.0,60.0,-15100.0,60.0,,,,,-11700.0,6.72,5710.0,3.68,,,,,8640.0,4.0,-26000.0,60.1,-28600.0,19.3,-2630.0,2.87,-10400.0,2.79,8350.0,0.015,-104.0,0.015,2470.0,2.47,,,,,,,,,,,0.0712,0.00959,,,,,0.00591,0.000236,0.00484,0.00111,0.00137,0.000881,0.0188,0.00603,,,0.00597,0.000167,0.00485,0.000777,0.00138,0.000884,0.0194,0.00447,,,,
50,81,131Sn,0,56,s,0.5,3/2+,β⁻,100.0,,-77200.0,3.62,4710.0,3.96,-9240.0,4.23,-10200.0,4.23,,,,,-10900.0,7.18,4020.0,4.11,,,,,7940.0,3.62,-22000.0,19.5,-23400.0,22.6,-3050.0,14.6,-8770.0,5.12,8360.0,0.0276,-91.3,0.0276,1070.0,2.89,,,,,,,,,,,,,,,,,0.0044,0.00281,0.00303,0.00194,0.00147,0.000946,0.0114,0.00731,,,0.00464,0.00296,0.00311,0.00199,0.0015,0.000961,0.0117,0.00749,,,,
50,84,134Sn,0,1.024,s,0.058,0+,β⁻,100.0,,-66400.0,3.16,7580.0,4.41,-14400.0,200.0,-15400.0,200.0,,,,,-7740.0,22.5,3020.0,11.5,,,,,16000.0,4.19,-26900.0,300.0,-29500.0,200.0,4410.0,4.45,-2940.0,4.47,8270.0,0.0236,-86.2,0.0236,680.0,2.87,,,,,,,,,,,,,,,,,0.000176,0.000113,3.84e-05,2.45e-05,0.00015,9.65e-05,0.00182,0.00116,,,0.000176,0.000113,3.84e-05,2.45e-05,0.000151,9.67e-05,0.00182,0.00116,,,,
50,83,133Sn,0,1.38,s,0.07,7/2-,β⁻,100.0,,-70800.0,1.9,8040.0,3.66,-13100.0,200.0,-14200.0,200.0,,,,,-10100.0,5.64,4660.0,3.15,,,,,12000.0,2.8,-26700.0,200.0,-27600.0,60.0,690.0,3.11,-5030.0,2.69,8310.0,0.0143,-97.9,0.0143,616.0,2.29,,,,,,,,,,,,,,,,,0.00137,0.000881,0.000342,0.000219,0.000626,0.0004,0.00672,0.0043,,,0.00137,0.00062,0.000343,0.000219,0.000628,0.000401,0.0068,0.00306,,,,
50,86,136Sn,0,355,ms,13,0+,β⁻,100.0,,-56100.0,200.0,8330.0,200.0,-15200.0,361.0,-16200.0,361.0,,,,,-8130.0,209.0,2750.0,144.0,,,,,18200.0,200.0,,,-30600.0,447.0,5440.0,200.0,1700.0,282.0,8190.0,1.0,-73.3,1.0,808.0,167.0,,,,,,,,,,,,,,,,,1.56e-07,1e-07,1.92e-08,1.23e-08,8.66e-07,5.54e-07,1.41e-05,9.07e-06,,,1.56e-07,1e-07,1.92e-08,1.23e-08,8.66e-07,5.54e-07,1.41e-05,9.07e-06,,,,
50,85,135Sn,0,515,ms,5,,β⁻,100.0,,-60600.0,3.07,9050.0,4.05,-13500.0,300.0,-14500.0,300.0,,,,,-7840.0,19.4,2920.0,10.0,,,,,17000.0,3.52,-27800.0,400.0,-28400.0,300.0,5310.0,4.34,2140.0,4.34,8230.0,0.0228,-81.7,0.0228,689.0,68.0,,,,,,,,,,,,,,,,,6.26e-06,4.01e-06,1.42e-06,9.15e-07,1.23e-05,7.92e-06,0.00019,0.000121,,,6.26e-06,2e-06,1.42e-06,9.15e-07,1.23e-05,7.92e-06,0.00019,0.000121,,,,
50,88,138Sn,0,148,ms,9,0+,β⁻,100.0,,-45500.0,400.0,9140.0,500.0,,,,,,,,,-8470.0,500.0,2500.0,406.0,,,,,20100.0,400.0,,,,,6470.0,403.0,2850.0,565.0,8110.0,3.0,-63.1,3.0,798.0,384.0,,,,,,,,,,,,,,,,,3.28e-11,2.1e-11,3.78e-12,2.42e-12,6.65e-10,4.26e-10,2.2e-08,1.41e-08,,,3.28e-11,2.1e-11,3.78e-12,2.42e-12,6.65e-10,4.26e-10,2.21e-08,1.41e-08,,,,
50,87,137Sn,0,228,ms,16,,β⁻,100.0,,-50100.0,300.0,9910.0,304.0,-14300.0,500.0,-15300.0,500.0,,,,,-8430.0,361.0,2740.0,308.0,,,,,19100.0,300.0,,,,,6280.0,300.0,3390.0,424.0,8150.0,2.0,-69.9,2.0,714.0,291.0,,,,,,,,,,,,,,,,,1.85e-07,1.19e-07,4.34e-10,2.78e-10,2.43e-08,1.56e-08,6.32e-07,4.05e-07,,,1.85e-07,1.19e-07,4.34e-10,2.78e-10,2.43e-08,1.56e-08,6.33e-07,4.05e-07,,,,
50,89,139Sn,0,120,ms,38,,β⁻,100.0,,-39300.0,400.0,10700.0,565.0,,,,,,,,,-8910.0,565.0,2630.0,426.0,,,,,20800.0,400.0,,,,,7260.0,500.0,4600.0,565.0,8070.0,3.0,-61.3,3.0,655.0,386.0,,,,,,,,,,,,,,,,,3.67e-13,2.35e-13,,,2.21e-11,1.41e-11,1.63e-10,1.04e-10,,,3.67e-13,2.35e-13,,,2.21e-11,1.41e-11,1.63e-10,1.04e-10,,,,
51,71,122Sb,0,2.69413,d,0.00032,2-,β⁻,97.59,0.12,-88300.0,2.5,1970.0,2.12,1600.0,3.21,583.0,3.21,,,,,-3530.0,8.14,764.0,4.59,,,,,-2250.0,5.43,-4760.0,50.1,-9780.0,27.4,-7860.0,25.7,-15100.0,3.53,8460.0,0.0205,6.05,0.0205,1070.0,2.27,,,,,,,,,,,,,,,,,2.07e-09,1.33e-09,2.08e-07,1.33e-07,0.0,0.0,1.37e-10,8.76e-11,,,2.07e-09,1.33e-09,2.08e-07,1.33e-07,0.0,0.0,1.37e-10,8.76e-11,,,,
51,74,125Sb,0,2.7577,y,+0.0008-0.0008,7/2+,β⁻,100.0,,-88200.0,2.51,766.0,2.12,-2360.0,2.16,-3380.0,2.16,,,,,-4840.0,27.4,1080.0,13.8,,,,,580.0,2.12,-7840.0,3.07,-14600.0,30.6,-5800.0,2.12,-15200.0,3.55,8450.0,0.0201,-11.9,0.0201,1240.0,16.0,,,,,,,,,,,,,,,[object Object],,2.73e-07,1.75e-07,6.57e-06,4.21e-06,1.13e-05,7.24e-06,1.53e-06,9.79e-07,,,0.00034,9.52e-06,0.00111,8.93e-05,0.000176,1.93e-05,0.000485,3.88e-05,,,,
51,73,124Sb,0,60.209,d,0.01,3-,β⁻,100.0,,-87600.0,1.35,2900.0,0.131,612.0,0.41,-409.0,0.41,,,,,-4310.0,40.0,886.0,20.0,,,,,-254.0,1.86,-6750.0,30.5,-11400.0,19.8,-6510.0,0.0914,-13400.0,1.92,8450.0,0.011,-4.46,0.011,1110.0,1.72,,,,,,,,,,,,,,,[object Object],,1.2e-08,7.74e-09,3.33e-07,2.13e-07,3.24e-07,2.07e-07,4.45e-08,2.85e-08,,,1.2e-08,7.74e-09,4.99e-07,3.19e-07,4.86e-07,3.11e-07,6.68e-08,4.27e-08,,,,
51,76,127Sb,0,3.84,d,0.03,7/2+,β⁻,100.0,,-86600.0,5.08,1580.0,4.91,-3220.0,10.1,-4250.0,10.1,,,,,-5690.0,20.4,1260.0,10.5,,,,,2280.0,6.06,-9810.0,11.1,-16100.0,6.58,-4700.0,4.91,-13800.0,7.18,8430.0,0.04,-27.3,0.04,1180.0,18.8,,,,,,,,,,,,,,,,,7.08e-05,1.63e-05,0.000276,0.000176,2.68e-05,1.71e-05,2.03e-06,1.29e-06,,,0.00156,6.27e-05,0.00506,0.000303,0.00105,8.44e-05,0.00136,8.17e-05,,,,
51,75,126Sb,0,12.3,d,0.1,(8-),β⁻,100.0,,-86300.0,31.8,3670.0,31.8,-378.0,30.0,-1390.0,30.0,,,,,-5240.0,59.3,1130.0,33.6,,,,,1510.0,32.0,-8580.0,32.1,-13200.0,31.8,-5440.0,31.8,-12000.0,45.0,8440.0,0.252,-18.7,0.252,1080.0,22.7,,,,,,,,,,,,,,,[object Object],,8.59e-06,5.5e-06,1.16e-05,7.48e-06,5.71e-06,3.66e-06,4.71e-08,3.01e-08,,,0.000578,4.62e-05,0.002,0.00016,0.00027,6.21e-05,0.00054,4.32e-05,,,,
51,78,129Sb,0,4.4,h,0.02,7/2+,β⁻,100.0,,-84600.0,21.2,2370.0,21.2,-4030.0,27.3,-5060.0,27.3,,,,,-6640.0,21.2,1490.0,15.3,,,,,3870.0,21.4,-11700.0,21.3,-17700.0,21.2,-3700.0,21.2,-12400.0,30.0,8410.0,0.164,-45.8,0.164,1170.0,19.0,,,,,,,,,,,,,,,,,0.00064,0.000288,0.0038,0.00243,0.00172,0.0011,0.000324,0.000207,,,0.00543,7.6e-05,0.0137,0.000822,0.00588,0.000352,0.0101,0.00161,,,,
51,77,128Sb,0,9.05,h,0.04,8-,β⁻,100.0,,-84600.0,18.7,4360.0,18.7,-1260.0,13.3,-2290.0,13.3,,,,,-6180.0,35.8,1340.0,20.3,,,,,3100.0,19.1,-10400.0,18.8,-15000.0,21.2,-4420.0,18.8,-10700.0,26.5,8420.0,0.146,-36.1,0.146,1030.0,17.1,,,,,,,,,,,,,,,,,6.36e-05,4.07e-05,0.000574,9.18e-05,9.47e-05,6.06e-05,1.24e-05,7.95e-06,,,0.00337,0.00216,0.00671,0.00429,0.00187,0.0012,0.00285,0.00182,,,,
51,79,130Sb,0,40.5,m,0.4,(8-),β⁻,100.0,,-82200.0,14.2,5060.0,14.2,-2150.0,14.1,-3170.0,14.1,,,,,-6900.0,14.8,1350.0,10.5,,,,,4650.0,14.5,-12300.0,14.3,-16700.0,14.3,-3350.0,14.2,-9430.0,20.0,8390.0,0.109,-55.7,0.109,1010.0,14.6,,,,,,,,,,,,,,,,,0.00356,0.00228,0.00592,0.000473,0.00279,0.00179,0.00111,0.000713,,,0.00967,0.00619,0.0108,0.00694,0.00468,0.00299,0.00987,0.00632,,,,
51,81,132Sb,0,2.79,m,0.05,(4)+,β⁻,100.0,,-79600.0,2.46,5550.0,4.27,-3080.0,3.16,-4110.0,3.16,,,,,-7870.0,2.79,2760.0,7.33,,,,,6060.0,4.75,-17200.0,60.0,-18800.0,3.3,-2490.0,2.46,-8420.0,3.48,8370.0,0.0187,-79.2,0.0187,817.0,2.56,,,,,,,,,,,,,,,,,0.00862,0.000517,0.00545,0.000599,0.0051,0.00327,0.0127,0.00407,,,0.0116,0.000464,0.00788,0.000472,0.0058,0.00261,0.0224,0.00359,,,,
51,80,131Sb,0,23.03,m,0.04,(7/2+),β⁻,100.0,,-81900.0,2.08,3220.0,2.08,-4710.0,3.96,-5730.0,3.96,,,,,-7520.0,10.2,1650.0,5.31,,,,,5460.0,2.16,-13900.0,3.03,-19300.0,2.74,-2690.0,2.08,-11100.0,2.94,8390.0,0.0159,-66.3,0.0159,1020.0,7.35,,,,,,,,,,,,,,,,,0.0165,0.00066,0.0189,0.00151,0.00994,0.00318,0.00937,0.00421,,,0.0255,0.000715,0.0251,0.0015,0.0129,0.00206,0.0325,0.0013,,,,
51,83,134Sb,0,675,ms,5,(0-),β⁻,100.0,,-74000.0,3.07,8510.0,4.12,-7580.0,4.41,-8600.0,4.41,,,,,-6530.0,3.55,3070.0,3.79,,,,,10000.0,5.74,-22000.0,200.0,-23600.0,200.0,846.0,3.7,-4970.0,4.34,8320.0,0.0229,-86.2,0.0229,287.0,2.98,,,,,,,,,,,,,,,,,0.00358,0.00229,0.00199,0.00127,0.00279,0.00178,0.0128,0.00819,,,0.00372,0.00238,0.00202,0.00129,0.00291,0.00186,0.0142,0.00915,,,,
51,82,133Sb,0,2.41,m,0.08,7/2+,β⁻,100.0,,-78900.0,3.12,4010.0,3.51,-8040.0,3.66,-9070.0,3.66,,,,,-8510.0,3.69,4320.0,4.84,,,,,6930.0,6.67,-21200.0,200.0,-23800.0,60.1,-1800.0,4.68,-9850.0,4.42,8360.0,0.0235,-89.7,0.0235,2090.0,2.96,,,,,,,,,,,,,,,,,0.0225,0.00135,0.0117,0.000938,0.0105,0.00338,0.0309,0.00495,,,0.0239,0.00143,0.012,0.000725,0.0112,0.00257,0.038,0.00304,,,,
51,85,136Sb,0,924,ms,14,(1-),β⁻,100.0,,-64500.0,5.83,9910.0,6.25,-8330.0,200.0,-9350.0,200.0,,,,,-4520.0,60.3,1490.0,30.8,,,,,15000.0,15.3,-23500.0,300.0,-24600.0,300.0,5150.0,6.07,1880.0,8.24,8250.0,0.0429,-70.4,0.0429,368.0,26.4,,,,,,,,,,,,,,,,,0.000114,7.35e-05,2.92e-05,1.87e-05,0.000301,0.000193,0.00238,0.00152,,,0.000115,7.36e-05,2.92e-05,1.87e-05,0.000302,0.000193,0.0024,0.00153,,,,
51,84,135Sb,0,1.668,s,0.009,(7/2+),β⁻,100.0,,-69600.0,2.64,8030.0,3.15,-9050.0,4.05,-10000.0,4.05,,,,,-4090.0,3.44,1440.0,2.95,,,,,14000.0,3.34,-22500.0,300.0,-25000.0,200.0,4770.0,3.8,-2890.0,3.73,8290.0,0.0196,-72.8,0.0196,427.0,3.79,,,,,,,,,,,,,,,,,0.00145,0.000116,0.000666,0.000426,0.00145,0.000932,0.0102,0.00326,,,0.00145,8.74e-05,0.000667,0.000213,0.00146,0.00094,0.0103,0.00239,,,,
51,87,138Sb,0,314,ms,5,(3-),β⁻,100.0,,-54600.0,300.0,11000.0,300.0,-9140.0,500.0,-10100.0,500.0,,,,,-5100.0,361.0,1260.0,234.0,,,,,17300.0,300.0,,,-26100.0,500.0,6580.0,300.0,3630.0,424.0,8170.0,2.0,-58.0,2.0,409.0,286.0,,,,,,,,,,,,,,,,,3.91e-07,2.5e-07,6.5e-08,4.16e-08,2.02e-06,1.29e-06,4.05e-05,2.59e-05,,,3.91e-07,2.5e-07,6.5e-08,4.16e-08,2.02e-06,1.29e-06,4.05e-05,2.59e-05,,,,
51,86,137Sb,0,506,ms,17,,β⁻,100.0,,-60000.0,52.1,9240.0,52.2,-9910.0,304.0,-10900.0,304.0,,,,,-4790.0,207.0,1250.0,107.0,,,,,16200.0,52.8,-24200.0,403.0,-26300.0,304.0,6290.0,52.2,1520.0,73.7,8210.0,0.38,-59.4,0.38,496.0,142.0,,,,,,,,,,,,,,,,,0.000743,0.000475,2.74e-06,1.75e-06,2.49e-05,1.59e-05,0.000383,0.000245,,,0.000743,0.000475,2.74e-06,1.75e-06,2.5e-05,1.6e-05,0.000383,0.000245,,,,
51,89,140Sb,0,171,ms,6,(3-;4-),β⁻,100.0,,-44300.0,600.0,11900.0,600.0,-9900.0,671.0,-10900.0,671.0,,,,,-5840.0,671.0,1240.0,492.0,,,,,19200.0,600.0,,,,,7740.0,600.0,5160.0,848.0,8100.0,4.0,-48.4,4.0,452.0,528.0,,,,,,,,,,,,,,,,,1.43e-09,9.2e-10,5.61e-11,3.59e-11,1.03e-09,6.62e-10,1.54e-07,9.87e-08,,,1.43e-09,9.2e-10,5.61e-11,3.59e-11,1.03e-09,6.62e-10,1.54e-07,9.87e-08,,,,
51,88,139Sb,0,182,ms,9,,β⁻,100.0,,-50000.0,400.0,10100.0,400.0,-10700.0,565.0,-11700.0,565.0,,,,,-5360.0,500.0,1100.0,335.0,,,,,18400.0,400.0,,,,,7570.0,400.0,3110.0,565.0,8140.0,3.0,-48.8,3.0,524.0,429.0,,,,,,,,,,,,,,,,,1.39e-08,8.95e-09,1.73e-09,1.11e-09,1.02e-07,6.59e-08,3.13e-06,2e-06,,,1.39e-08,8.95e-09,1.73e-09,1.11e-09,1.02e-07,6.59e-08,3.14e-06,2e-06,,,,
51,90,141Sb,0,103,ms,29,,β⁻,100.0,,-39500.0,500.0,11100.0,640.0,,,,,,,,,-6130.0,640.0,1060.0,476.0,,,,,20300.0,500.0,,,,,8750.0,500.0,4520.0,707.0,8060.0,4.0,-41.0,4.0,602.0,507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,91,142Sb,0,53,ms,+69-31,,β⁻,100.0,,-33600.0,300.0,12900.0,583.0,,,,,,,,,,,,,,,,,21100.0,300.0,,,,,8980.0,500.0,6610.0,424.0,8020.0,2.0,-41.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,77,129Te,0,69.5,m,0.4,3/2+,β⁻,100.0,,-87000.0,0.711,1500.0,3.13,-2370.0,21.2,-3390.0,21.2,,,,,-3530.0,1.47,236.0,1.45,,,,,1690.0,0.71,-6410.0,17.2,-10900.0,17.6,-7330.0,3.68,-14100.0,1.0,8430.0,0.0055,-24.9,0.0055,1160.0,0.613,,,,,,,,,,,,,,,,,1.39e-07,8.95e-08,4.78e-06,3.06e-06,4.4e-06,2.82e-06,1.16e-08,7.42e-09,,,0.000902,1.26e-05,0.00228,0.000136,0.00098,5.88e-05,0.00167,0.000184,,,,
52,75,127Te,0,9.35,h,0.06,3/2+,β⁻,100.0,,-88200.0,1.36,702.0,3.56,-1580.0,4.91,-2600.0,4.91,,,,,-2890.0,2.42,166.0,1.39,,,,,40.3,4.04,-4810.0,9.29,-9550.0,10.6,-8440.0,3.67,-15500.0,1.93,8440.0,0.0108,-9.64,0.0108,1240.0,1.23,,,,,,,,,,,,,,,,,2.42e-10,1.55e-10,1.79e-08,1.15e-08,1.49e-11,9.59e-12,2.9e-12,1.85e-12,,,0.000251,1e-05,0.00081,4.86e-05,0.000168,1.35e-05,0.000217,1.3e-05,,,,
52,79,131Te,0,25,m,0.1,3/2+,β⁻,100.0,,-85200.0,0.061,2230.0,0.607,-3220.0,2.08,-4250.0,2.08,,,,,-4160.0,9.22,269.0,4.96,,,,,3200.0,0.0608,-7940.0,3.62,-12300.0,1.87,-6340.0,3.15,-12800.0,0.0862,8410.0,0.0005,-43.0,0.0005,1050.0,1.74,,,,,,,,,,,,,,,,,0.00233,0.000186,0.00869,0.000521,0.00236,0.000259,0.000364,0.000233,,,0.00412,0.000164,0.0104,0.000418,0.00326,0.000195,0.00264,0.000422,,,,
52,80,132Te,0,3.204,d,0.013,0+,β⁻,100.0,,-85100.0,3.48,515.0,3.48,-5550.0,4.27,-6570.0,4.27,,,,,-4250.0,18.0,292.0,9.17,,,,,4090.0,3.48,-8640.0,4.0,-15200.0,5.02,-5810.0,3.53,-14300.0,4.92,8400.0,0.0264,-53.0,0.0264,1110.0,2.67,,,,,,,,,,,0.0905,0.00445,,,[object Object],,0.0153,0.000918,0.0225,0.00135,0.00776,0.00349,0.00471,0.00301,,,0.0429,0.000601,0.0513,0.00102,0.0213,0.000852,0.0512,0.000717,,,,
52,83,135Te,0,19,s,0.2,(7/2-),β⁻,100.0,,-77700.0,1.72,6050.0,2.68,-8030.0,3.15,-9060.0,3.15,,,,,-2880.0,4.0,1270.0,2.43,,,,,8680.0,4.05,-17000.0,3.52,-18500.0,3.6,-1750.0,5.15,-8010.0,2.43,8340.0,0.0128,-68.7,0.0128,750.0,2.16,,,,,,,,,,,,,,,,,0.0321,0.00192,0.0219,0.00504,0.0178,0.0057,0.0462,0.0147,,,0.0333,0.00133,0.0224,0.00517,0.0191,0.0044,0.0554,0.0127,,,,
52,84,136Te,0,17.66,s,0.08,0+,β⁻,100.0,,-74400.0,2.28,5110.0,14.1,-9910.0,6.25,-10900.0,6.25,,,,,-303.0,3.01,-341.0,2.22,,,,,12000.0,2.28,-18200.0,200.0,-21000.0,3.82,1280.0,3.07,-6520.0,3.22,8310.0,0.0168,-60.6,0.0168,909.0,2.11,,,,,,,,,,,0.0842,0.00799,1.85,0.458,,,0.0131,0.00105,0.00506,0.00323,0.00911,0.00583,0.0352,0.0112,,,0.0133,0.00107,0.00508,0.00325,0.00933,0.0042,0.037,0.00851,,,,
52,81,133Te,0,12.5,m,0.3,(3/2+),β⁻,100.0,,-82900.0,2.06,2920.0,6.25,-4010.0,3.51,-5030.0,3.51,,,,,-4770.0,17.3,1450.0,8.75,,,,,4700.0,3.16,-12000.0,2.8,-13600.0,2.85,-5300.0,4.56,-11600.0,2.92,8380.0,0.0155,-63.8,0.0155,923.0,2.65,,,,,,,,,,,,,,,,,0.0298,0.00179,0.0289,0.00173,0.0128,0.0041,0.0196,0.00627,,,0.0399,0.00111,0.0339,0.00135,0.0175,0.00403,0.0356,0.00818,,,,
52,82,134Te,0,41.8,m,0.8,0+,β⁻,100.0,,-82500.0,2.74,1500.0,4.93,-8510.0,4.12,-9530.0,4.12,,,,,-4820.0,3.32,2480.0,2.57,,,,,5590.0,2.74,-16000.0,4.19,-18900.0,3.34,-4740.0,6.5,-12900.0,3.88,8380.0,0.0205,-74.0,0.0205,2200.0,2.36,,,,,,,,,,,0.0767,0.0119,0.682,0.225,,,0.0621,0.00248,0.0439,0.00263,0.0235,0.00376,0.0395,0.00632,,,0.0697,0.00195,0.0481,0.00134,0.0294,0.00235,0.0684,0.00191,,,,
52,87,139Te,0,0.724,s,0.081,,β⁻,100.0,,-60200.0,3.54,8260.0,5.34,-10100.0,400.0,-11100.0,400.0,,,,,-1990.0,4.68,-212.0,3.74,,,,,15400.0,4.13,-20800.0,400.0,-21900.0,400.0,3700.0,6.93,8.55,5.0,8210.0,0.0254,-44.7,0.0254,826.0,7.84,,,,,,,,,,,,,,,,,6.66e-05,4.26e-05,8.12e-06,5.2e-06,8.21e-05,5.25e-05,0.0012,0.000773,,,6.66e-05,2.13e-05,8.13e-06,2.6e-06,8.22e-05,5.26e-05,0.00121,0.000775,,,,
52,88,140Te,0,351,ms,5,0+,β⁻,100.0,,-56300.0,14.3,7230.0,18.7,-11900.0,600.0,-12900.0,600.0,,,,,-2620.0,201.0,-153.0,100.0,,,,,16600.0,14.5,-21800.0,300.0,-24300.0,400.0,4030.0,14.9,-530.0,20.3,8180.0,0.102,-38.8,0.102,940.0,211.0,,,,,,,,,,,,,,,,,0.000169,0.000108,1.4e-06,9.02e-07,8.47e-06,5.42e-06,0.000185,0.000118,,,0.000169,0.000108,1.4e-06,9.02e-07,8.47e-06,5.42e-06,0.000186,0.000119,,,,
52,85,137Te,0,2.48,s,0.03,,β⁻,100.0,,-69300.0,2.1,7050.0,8.64,-9240.0,52.2,-10200.0,52.2,,,,,-854.0,2.83,-231.0,2.27,,,,,13000.0,2.1,-19100.0,300.0,-20400.0,200.0,2170.0,14.3,-1660.0,2.96,8280.0,0.0153,-56.1,0.0153,756.0,2.66,,,,,,,,,,,,,,,,,0.00392,0.000313,0.00129,0.000827,0.00233,0.00149,0.0156,0.00501,,,0.00453,0.000498,0.00129,0.000829,0.00235,0.0015,0.0159,0.00367,,,,
52,86,138Te,0,1.46,s,0.25,0+,β⁻,100.0,,-65600.0,3.78,6280.0,7.06,-11000.0,300.0,-12000.0,300.0,,,,,-1680.0,4.93,-135.0,3.39,,,,,14200.0,4.71,-20100.0,400.0,-22800.0,300.0,2580.0,9.19,-2290.0,5.35,8250.0,0.0274,-48.9,0.0274,941.0,3.37,,,,,,,,,,,,,,,,,0.000661,0.000423,0.000117,7.49e-05,0.000541,0.000346,0.0055,0.00352,,,0.000662,0.000211,0.000117,3.74e-05,0.000543,0.000347,0.00554,0.00249,,,,
52,89,141Te,0,193,ms,16,,β⁻,100.0,,-50600.0,400.0,9250.0,400.0,-11100.0,640.0,-12100.0,640.0,,,,,-2940.0,500.0,-152.0,320.0,,,,,17500.0,400.0,,,-23400.0,500.0,4860.0,400.0,1650.0,565.0,8140.0,3.0,-35.7,3.0,835.0,412.0,,,,,,,,,,,,,,,,,3.24e-07,2.07e-07,1.01e-07,6.52e-08,8.41e-07,5.38e-07,5.53e-05,3.54e-05,,,3.24e-07,2.07e-07,1.01e-07,6.52e-08,8.41e-07,5.38e-07,5.54e-05,3.54e-05,,,,
52,90,142Te,0,147,ms,7,0+,β⁻,100.0,,-46500.0,500.0,8250.0,500.0,-12900.0,583.0,-13900.0,583.0,,,,,-3460.0,640.0,-183.0,406.0,,,,,18600.0,500.0,,,,,5300.0,500.0,913.0,707.0,8110.0,4.0,-31.2,4.0,1030.0,502.0,,,,,,,,,,,,,,,,,2.06e-08,1.32e-08,5.66e-09,3.62e-09,3.46e-08,2.22e-08,9.26e-07,5.93e-07,,,2.06e-08,1.32e-08,5.66e-09,3.62e-09,3.46e-08,2.22e-08,9.27e-07,5.93e-07,,,,
52,91,143Te,0,120,ms,8,,β⁻,100.0,,-40500.0,500.0,10200.0,539.0,,,,,,,,,-3640.0,640.0,-324.0,418.0,,,,,19600.0,500.0,,,,,6200.0,500.0,3250.0,707.0,8070.0,3.0,-28.0,3.0,893.0,439.0,,,,,,,,,,,,,,,,,4.88e-12,3.12e-12,8.19e-12,5.24e-12,1.82e-10,1.17e-10,8.54e-08,5.47e-08,,,4.88e-12,3.12e-12,8.19e-12,5.24e-12,1.82e-10,1.17e-10,8.54e-08,5.47e-08,,,,
52,92,144Te,0,93,ms,60,0+,β⁻,100.0,,-36200.0,300.0,9110.0,500.0,,,,,,,,,-4150.0,424.0,-349.0,299.0,,,,,20600.0,300.0,,,,,6490.0,361.0,2440.0,424.0,8040.0,2.0,-24.2,2.0,900.0,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
